#server;sizelist;margin;threshold;trust_level;trust_vector;error;mistake_time;error_rate;total_time;pa;td_mean;td_max;date
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000556168788138;1798015317163;0.998576336505832;4085.654263000000000;8171.308526000000000;04/03/2025 02:42:35.826
2001:660:4403:480::8674;100;1500000000;95;20;FFFFFTFFTFFFFFFFFFF;1;2559768769;0.000277911861885;3598263108371;0.999288609895412;4085.654263000000000;8171.308526000000000;04/03/2025 03:12:35.827
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000185292980336;5396858522045;0.999525692815822;4085.654263000000000;8171.308526000000000;04/03/2025 03:42:35.826
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000138921761458;7198296289234;0.999644392413684;4085.654263000000000;8171.308526000000000;04/03/2025 04:12:35.825
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000111140856067;8997591303373;0.999715505107679;4085.654263000000000;8171.308526000000000;04/03/2025 04:42:35.825
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000092608578650;10798135708142;0.999762943452631;4085.654263000000000;8171.308526000000000;04/03/2025 05:12:35.826
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000079377489742;12598030036581;0.999796811980796;4085.654263000000000;8171.308526000000000;04/03/2025 05:42:35.826
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000069452583353;14398312513718;0.999822217446207;4085.654263000000000;8171.308526000000000;04/03/2025 06:12:35.825
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000061736341309;16198314673795;0.999841969241604;4085.654263000000000;8171.308526000000000;04/03/2025 06:42:35.825
2001:660:4403:480::8674;100;1500000000;95;0;FFFFFFFFFFFFFFFFFFF;1;2559768769;0.000055561239087;17998158724280;0.999857776075419;4085.654263000000000;8171.308526000000000;04/03/2025 07:12:35.825
