#server;sizelist;margin;threshold;trust_level;trust_vector;error;mistake_time;error_rate;total_time;pa;td_mean;td_max;date
2001:660:4403:480::8674;100;1500000000;60;100;FTTT;3;342713884255;0.001668292597186;1798245706455;0.809417654648199;7886.415054000000000;8790.887794000000000;04/03/2025 02:42:47.888
2001:660:4403:480::8674;100;1500000000;60;100;TTFT;15;763115436728;0.004172413670019;3595041428366;0.787731114666223;8542.660541733334000;9282.187155000000000;04/03/2025 03:12:47.888
2001:660:4403:480::8674;100;1500000000;60;60;FFFT;27;1231684708891;0.005004629369798;5395004905446;0.771699056724180;7734.165824259259000;9282.187155000000000;04/03/2025 03:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.005417838616043;7198442545799;0.731621540245750;7538.729243717948500;9282.187155000000000;04/03/2025 04:12:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.004333419685137;8999820657520;0.785339397684914;7538.729243717948500;9282.187155000000000;04/03/2025 04:42:47.887
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.003611808538717;10797914557745;0.821085181519120;7538.729243717948500;9282.187155000000000;04/03/2025 05:12:47.887
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.003095407138845;12599311900068;0.846665679967763;7538.729243717948500;9282.187155000000000;04/03/2025 05:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.002708541469567;14398893440693;0.865829486756864;7538.729243717948500;9282.187155000000000;04/03/2025 06:12:47.887
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.002407521619891;16199231474303;0.880740828592047;7538.729243717948500;9282.187155000000000;04/03/2025 06:42:47.887
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.002166787958282;17998992402985;0.892665829296611;7538.729243717948500;9282.187155000000000;04/03/2025 07:12:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001969769163892;19799274308335;0.902425367062180;7538.729243717948500;9282.187155000000000;04/03/2025 07:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001805611250182;21599333741449;0.910557105779440;7538.729243717948500;9282.187155000000000;04/03/2025 08:12:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001666810612591;23397979173757;0.917432744566342;7538.729243717948500;9282.187155000000000;04/03/2025 08:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001547626823728;25199873381649;0.923336641664325;7538.729243717948500;9282.187155000000000;04/03/2025 09:12:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001444621572224;26996689479003;0.928439117523148;7538.729243717948500;9282.187155000000000;04/03/2025 09:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001354256108424;28798097905854;0.932915467910876;7538.729243717948500;9282.187155000000000;04/03/2025 10:12:47.887
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001274536675836;30599354839601;0.936864455698564;7538.729243717948500;9282.187155000000000;04/03/2025 10:42:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001203794657558;32397551987075;0.940368737618147;7538.729243717948500;9282.187155000000000;04/03/2025 11:12:47.888
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;39;1931906923071;0.001140363670018;34199616337642;0.943510859771119;7538.729243717948500;9282.187155000000000;04/03/2025 11:42:47.888
