#server;sizelist;margin;threshold;trust_level;trust_vector;error;mistake_time;error_rate;total_time;pa;td_mean;td_max;date
2001:660:4403:480::8674;100;1500000000;60;60;FFFT;10;228491436639;0.005570992416075;1795012316144;0.872707593934598;7709.975941899999000;8472.282307000000000;04/03/2025 02:42:36.371
2001:660:4403:480::8674;100;1500000000;60;60;FFFT;21;415191863492;0.005837494290892;3597433925163;0.884586660344793;7762.378370000000000;8737.421034000000000;04/03/2025 03:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;42;1055628938219;0.007781281246082;5397568687181;0.804425103338458;7709.138975333333000;8737.421034000000000;04/03/2025 03:42:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.007917063482155;7199639124844;0.819902776184064;7719.916444543859000;8737.421034000000000;04/03/2025 04:12:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.006333482693999;8999787755638;0.855926044694920;7719.916444543859000;8737.421034000000000;04/03/2025 04:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.005278598838061;10798320112718;0.879922524492133;7719.916444543859000;8737.421034000000000;04/03/2025 05:12:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.004524006547235;12599451261812;0.897087976935075;7719.916444543859000;8737.421034000000000;04/03/2025 05:42:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.003958789096283;14398342173247;0.909945533780255;7719.916444543859000;8737.421034000000000;04/03/2025 06:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.003519106735914;16197292175963;0.919947420545687;7719.916444543859000;8737.421034000000000;04/03/2025 06:42:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.003166675892144;17999947560595;0.927964511313380;7719.916444543859000;8737.421034000000000;04/03/2025 07:12:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.002879212855838;19797077484019;0.934503715515197;7719.916444543859000;8737.421034000000000;04/03/2025 07:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.002638917666743;21599764448262;0.939969946340534;7719.916444543859000;8737.421034000000000;04/03/2025 08:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.002436356705903;23395588938967;0.944577799591043;7719.916444543859000;8737.421034000000000;04/03/2025 08:42:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.002262020960059;25198705496749;0.948543586136665;7719.916444543859000;8737.421034000000000;04/03/2025 09:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.002111325221318;26997261920838;0.951971610207619;7719.916444543859000;8737.421034000000000;04/03/2025 09:42:36.373
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001979210805359;28799357726652;0.954976946667771;7719.916444543859000;8737.421034000000000;04/03/2025 10:12:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001862782924842;30599378617801;0.957625446089723;7719.916444543859000;8737.421034000000000;04/03/2025 10:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001759487405998;32395798802353;0.959975210774342;7719.916444543859000;8737.421034000000000;04/03/2025 11:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001666684807479;34199627754582;0.962086282688054;7719.916444543859000;8737.421034000000000;04/03/2025 11:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001583512582209;35995924907960;0.963978283036859;7719.916444543859000;8737.421034000000000;04/03/2025 12:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001507967156570;37799231735031;0.965696789078935;7719.916444543859000;8737.421034000000000;04/03/2025 12:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;57;1296635018861;0.001439442783528;39598656266336;0.967255580337373;7719.916444543859000;8737.421034000000000;04/03/2025 13:12:36.370
2001:660:4403:480::8674;100;1500000000;60;100;FTTT;67;1398774728944;0.001618439642268;41397898475920;0.966211455642908;7728.828772000000000;8737.421034000000000;04/03/2025 13:42:36.370
2001:660:4403:480::8674;100;1500000000;60;80;TFFT;94;2164740204675;0.002176108339646;43196378731441;0.949886072206804;7597.259356882979000;8737.421034000000000;04/03/2025 14:12:36.370
2001:660:4403:480::8674;100;1500000000;60;80;FTFT;117;2884345352647;0.002600288308416;44995010599905;0.935896329077582;7605.684740410256000;9400.194577000000000;04/03/2025 14:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;140;3687263504958;0.002991568758153;46798188949673;0.921209269253490;7644.058121578571000;9400.611060000000000;04/03/2025 15:12:36.371
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;140;3687263504958;0.002880814679902;48597364133391;0.924126265473224;7644.058121578571000;9400.611060000000000;04/03/2025 15:42:36.371
2001:660:4403:480::8674;100;1500000000;60;120;TTTT;149;3962443802346;0.002956484964491;50397685694185;0.921376472991434;7694.005377684563000;9400.611060000000000;04/03/2025 16:12:36.370
2001:660:4403:480::8674;100;1500000000;60;20;TFFF;203;5587973607216;0.003888973064270;52198870150344;0.892948380087128;7687.333674897059000;9400.611060000000000;04/03/2025 16:42:36.370
2001:660:4403:480::8674;100;1500000000;60;20;FFTF;215;6164474917551;0.003981816152222;53995461312305;0.885833461410836;7712.936707717592000;9400.611060000000000;04/03/2025 17:12:36.370
2001:660:4403:480::8674;100;1500000000;60;60;FFFT;243;6728971893149;0.004355227660269;55795016691496;0.879398335332435;7790.716832020576500;9400.611060000000000;04/03/2025 17:42:36.370
2001:660:4403:480::8674;100;1500000000;60;0;FFFF;260;7154109642926;0.004514052028411;57597918314544;0.875792218672606;7791.831348073077000;9400.611060000000000;04/03/2025 18:12:36.370
